CURRENCY,TOTAL
EUR,19.05
CAD,985.38
JPY,2794.97
USD,47.00
CAD,48.46
EUR,21.43
CAD,2497.69
CAD,3376.92
JPY,74.89
JPY,863.25
EUR,2063.10
EUR,79.76
EUR,200.00
JPY,2639.06
EUR,108.33
EUR,896.43
USD,323.00
CAD,1096.15
CAD,74.62
EUR,977.38
CAD,2419.23
CAD,86.92
EUR,78520.24
EUR,36.90
USD,558.00
CAD,2522.31
CAD,32650.77
EUR,83.33
CAD,2473.85
EUR,98.81
CAD,3161.54
JPY,1173.88
USD,49.00
JPY,79.81
JPY,3577.16
CAD,337.69
JPY,2528.50
CAD,1356.92
EUR,148.81
CAD,124.62
EUR,4216.67
JPY,20.35
JPY,3300.64
EUR,154.76
CAD,2324.62
JPY,7152.52
EUR,1271.43
JPY,78.91
CAD,76.15
JPY,179.38
JPY,863.25
USD,501.00
JPY,978.90
JPY,67064.53
CAD,270.77
CAD,833.85
JPY,222.08
JPY,255.63
JPY,937.06
CAD,819.23
JPY,3165.62
CAD,3407.69
USD,2249.00
JPY,108.77
USD,3329.00
JPY,45.11
EUR,2441.67
USD,81.00
JPY,142.66
JPY,25.46
CAD,211.54
EUR,2490.48
JPY,181.88
CAD,50.00
EUR,1679.76
USD,2720.00
EUR,2401.19
EUR,2503.57
EUR,3383.33
USD,2353.00
USD,132.00
USD,135.00
EUR,52.38
USD,76.00
JPY,876.66
EUR,153.57
JPY,2034.57
USD,134.00
USD,21.00
USD,45.00
USD,1012.00
USD,17.00
JPY,232.05
JPY,2423.99
CAD,59.23
CAD,132.31
CAD,21.54
JPY,41.17
CAD,78.46
EUR,72.62
CAD,2344.62
USD,839.00
USD,2258.00
JPY,19771.10
USD,81.00
JPY,25.26
CAD,315.38
EUR,348.81
CAD,81.54
CAD,876.15
CAD,19.23
EUR,20876.19
EUR,5708.33
JPY,222.10
EUR,972.62
EUR,109.52
CAD,119.23
JPY,3874.52
EUR,139.29
JPY,1916.91
CAD,51.54
JPY,113.74
CAD,101.54
JPY,20.35
JPY,943.77
JPY,310.30
EUR,17.86
JPY,2419.08
JPY,564.78
USD,1077.00
JPY,79.81
USD,10525.00
JPY,231.53
JPY,284.56
JPY,9551.21
JPY,945.66
USD,30.00
EUR,225.00
JPY,1037.81
CAD,51.54
JPY,110.12
EUR,33189.29
CAD,136.15
EUR,190115.48
USD,970.00
JPY,48.60
EUR,2654.76
USD,153.00
EUR,916.67
USD,2052.00
USD,2721.00
CAD,43.85
EUR,2503.57
EUR,51.19
CAD,146769.23
EUR,24215.48
USD,236.00
CAD,133.85
USD,2392.00
USD,187.00
EUR,23.81
JPY,9937.29
CAD,260.77
CAD,2101.54
USD,76.00
CAD,983.08
CAD,83.85
USD,2348.00
CAD,352852.31
EUR,130.95
JPY,51.61
JPY,178.17
EUR,845.24
CAD,2348.46
CAD,14210.00
CAD,5463.08
JPY,148.26
JPY,2771.51
CAD,91.54
USD,105.00
JPY,2772.61
JPY,2669.88
CAD,2483.85
