CURRENCY,TOTAL
EUR,16
CAD,1281
JPY,290873
USD,47
CAD,63
EUR,18
CAD,3247
CAD,4390
JPY,7794
JPY,89838
EUR,1733
EUR,67
EUR,168
JPY,274647
EUR,91
EUR,753
USD,323
CAD,1425
CAD,97
EUR,821
CAD,3145
CAD,113
EUR,65957
EUR,31
USD,558
CAD,3279
CAD,42446
EUR,70
CAD,3216
EUR,83
CAD,4110
JPY,122166
USD,49
JPY,8306
JPY,372275
CAD,439
JPY,263141
CAD,1764
EUR,125
CAD,162
EUR,3542
JPY,2118
JPY,343498
EUR,130
CAD,3022
JPY,744363
EUR,1068
JPY,8212
CAD,99
JPY,18668
JPY,89838
USD,501
JPY,101874
JPY,6979406
CAD,352
CAD,1084
JPY,23112
JPY,26603
JPY,97520
CAD,1065
JPY,329446
CAD,4430
USD,2249
JPY,11320
USD,3329
JPY,4695
EUR,2051
USD,81
JPY,14847
JPY,2650
CAD,275
EUR,2092
JPY,18928
CAD,65
EUR,1411
USD,2720
EUR,2017
EUR,2103
EUR,2842
USD,2353
USD,132
USD,135
EUR,44
USD,76
JPY,91234
EUR,129
JPY,211738
USD,134
USD,21
USD,45
USD,1012
USD,17
JPY,24149
JPY,252265
CAD,77
CAD,172
CAD,28
JPY,4285
CAD,102
EUR,61
CAD,3048
USD,839
USD,2258
JPY,2057578
USD,81
JPY,2629
CAD,410
EUR,293
CAD,106
CAD,1139
CAD,25
EUR,17536
EUR,4795
JPY,23114
EUR,817
EUR,92
CAD,155
JPY,403221
EUR,117
JPY,199493
CAD,67
JPY,11837
CAD,132
JPY,2118
JPY,98218
JPY,32293
EUR,15
JPY,251754
JPY,58777
USD,1077
JPY,8306
USD,10525
JPY,24095
JPY,29614
JPY,993994
JPY,98415
USD,30
EUR,189
JPY,108005
CAD,67
JPY,11460
EUR,27879
CAD,177
EUR,159697
USD,970
JPY,5058
EUR,2230
USD,153
EUR,770
USD,2052
USD,2721
CAD,57
EUR,2103
EUR,43
CAD,190800
EUR,20341
USD,236
CAD,174
USD,2392
USD,187
EUR,20
JPY,1034174
CAD,339
CAD,2732
USD,76
CAD,1278
CAD,109
USD,2348
CAD,458708
EUR,110
JPY,5371
JPY,18542
EUR,710
CAD,3053
CAD,18473
CAD,7102
JPY,15429
EUR,2191471
JPY,288431
CAD,119
USD,105
JPY,288546
JPY,277854
CAD,3229
USD,4688
JPY,194298
JPY,276372
USD,142
CAD,109
USD,47
EUR,38
CAD,84
JPY,5058
EUR,731
CAD,1901
USD,1282476
CAD,102
JPY,740208
EUR,2755
EUR,54
USD,289
USD,135
USD,130
EUR,922
CAD,1245
JPY,9139
JPY,89527
JPY,2629
USD,2436
CAD,3043
CAD,137
CAD,137
EUR,203
JPY,45178
CAD,1378
CAD,322
USD,361
JPY,265191
CAD,115
CAD,159
CAD,148
USD,108
CAD,5476
USD,137
EUR,354
EUR,36
CAD,3198
USD,113
CAD,35
CAD,23
CAD,368
EUR,128818
USD,2281
USD,135
CAD,23
CAD,3059
USD,2551
JPY,89255
CAD,184
EUR,153
CAD,3015
JPY,8306
CAD,359
JPY,379063
EUR,206
JPY,15429
USD,2460
EUR,704
USD,57
EUR,63
JPY,49781
JPY,148689
EUR,67
JPY,256074
USD,2330
JPY,284928
USD,33
CAD,5884
JPY,15912
EUR,8061
JPY,5512
JPY,67869
JPY,251539
JPY,16826
CAD,4088
CAD,15418097
EUR,53110
JPY,16008
USD,3301
CAD,274
CAD,1071
USD,1547
JPY,99304
CAD,3110
JPY,3687798
JPY,32120
USD,89
JPY,8050
CAD,306
CAD,44194
USD,162
CAD,35
JPY,511987
EUR,38
EUR,2351
JPY,18820
CAD,3053
USD,130
USD,129
JPY,23390
USD,67
JPY,1904
USD,29
JPY,288490
EUR,5916
USD,21
CAD,987
CAD,66
USD,12826
JPY,11609
USD,36
EUR,708
USD,38
JPY,15312
CAD,151
JPY,1904
JPY,18725
USD,43
USD,2433
EUR,296
EUR,900
CAD,223
JPY,7037
USD,81
EUR,16
EUR,135
JPY,21446
EUR,160
EUR,910
EUR,33
EUR,704
EUR,454
EUR,1991
EUR,1824
EUR,44
USD,76
EUR,2006
EUR,62
EUR,1993
JPY,2940
EUR,58
JPY,91593
CAD,3010
CAD,1065
CAD,35
CAD,3852
CAD,1068
JPY,98247
EUR,174
EUR,2094
EUR,42
USD,3382
USD,33162
USD,50
JPY,11606
USD,61
EUR,3221
CAD,284
EUR,710
CAD,100
EUR,2023
JPY,344399
EUR,26
USD,2289
USD,72
JPY,24350
USD,2266
USD,18
JPY,277467
CAD,299810
CAD,314
JPY,3537528
JPY,275859
CAD,3560
CAD,3346
JPY,15118
JPY,2379
JPY,26144
JPY,2650
JPY,2577377
EUR,5865
USD,550
JPY,5660
EUR,15
USD,820
JPY,261451
JPY,60394
CAD,25
JPY,588470
CAD,47
USD,29
EUR,3520
CAD,6056
CAD,170
EUR,3073
USD,1088
USD,147
USD,938
USD,1525
EUR,1991
CAD,259
EUR,11524
EUR,128
EUR,43
CAD,340
CAD,3013
EUR,70
USD,571
USD,3949
EUR,1405
EUR,1993
JPY,133928
EUR,2161
JPY,26530
EUR,731
USD,2295
CAD,102
USD,254
CAD,285
JPY,429672461
CAD,3015
EUR,23836
JPY,356430
USD,19
EUR,36
USD,2377
USD,4644
EUR,190
EUR,702
USD,930
EUR,3091
JPY,5533
JPY,267714
USD,110
USD,713
EUR,3046
USD,2289
CAD,245
CAD,215
USD,1049
USD,27768
USD,2323
USD,76
USD,2403
USD,197
USD,132
USD,2249
USD,798
USD,70
USD,45
CAD,99
CAD,31
JPY,121613
JPY,2940
EUR,3732
EUR,5897
JPY,24616
USD,30
JPY,2940
USD,1256
CAD,98
USD,103
USD,2251
CAD,44377
CAD,313
EUR,63
CAD,327
JPY,263324
EUR,708
EUR,735
CAD,1191
CAD,3766
CAD,3161
USD,798
USD,29
USD,2253
CAD,1096
CAD,4061
USD,89
JPY,413264
CAD,97
CAD,1120
EUR,2179
USD,2458
CAD,7291
EUR,130
JPY,13242
JPY,8130
EUR,1990
EUR,66
CAD,3442
JPY,3249
JPY,89527
JPY,2650
JPY,290741
JPY,3463
JPY,14847
USD,2331
USD,43
EUR,147
EUR,44
CAD,3248
CAD,67
USD,900
USD,128
USD,2883
EUR,2155
